Datetime,open_time,open,high,low,close,volume
2024-04-10 00:00:00,1712678400000,69264.0,69320.0,69228.01,69296.01,43.64556
2024-04-10 00:01:00,1712678460000,69296.01,69312.08,69224.0,69224.0,25.16904
2024-04-10 00:02:00,1712678520000,69224.0,69284.01,69196.01,69284.01,24.90573
2024-04-10 00:03:00,1712678580000,69284.01,69289.62,69090.9,69090.91,41.98866
2024-04-10 00:04:00,1712678640000,69090.9,69129.26,69065.79,69086.72,34.25809
2024-04-10 00:05:00,1712678700000,69086.71,69130.8,69077.0,69077.01,20.28366
2024-04-10 00:06:00,1712678760000,69077.0,69077.71,69010.74,69010.99,30.64627
2024-04-10 00:07:00,1712678820000,69010.98,69061.45,68980.0,69031.08,52.19353
2024-04-10 00:08:00,1712678880000,69031.09,69039.83,68909.01,68929.21,70.91863
2024-04-10 00:09:00,1712678940000,68929.2,68991.23,68929.2,68944.0,32.38244
2024-04-10 00:10:00,1712679000000,68944.0,68999.09,68907.4,68999.08,40.75777
2024-04-10 00:11:00,1712679060000,68999.09,69033.19,68973.94,69033.19,36.77847
2024-04-10 00:12:00,1712679120000,69033.18,69056.07,68992.13,69011.04,43.25333
2024-04-10 00:13:00,1712679180000,69011.04,69052.01,69002.93,69024.01,20.37023
2024-04-10 00:14:00,1712679240000,69024.01,69069.98,69017.47,69045.38,14.51079
2024-04-10 00:15:00,1712679300000,69045.39,69045.39,68940.0,68940.01,15.61888
2024-04-10 00:16:00,1712679360000,68940.0,68946.4,68888.0,68924.03,51.08179
2024-04-10 00:17:00,1712679420000,68924.02,68960.0,68851.11,68959.99,36.62639
2024-04-10 00:18:00,1712679480000,68959.99,68960.0,68880.52,68907.98,20.42181
2024-04-10 00:19:00,1712679540000,68907.98,68907.99,68874.33,68882.64,13.62849
2024-04-10 00:20:00,1712679600000,68882.63,68882.64,68766.0,68819.99,157.63845
2024-04-10 00:21:00,1712679660000,68820.0,68890.0,68781.85,68888.0,39.30832
2024-04-10 00:22:00,1712679720000,68888.0,69033.97,68887.99,69014.63,98.96299
2024-04-10 00:23:00,1712679780000,69014.63,69020.15,68927.33,68934.51,20.80039
2024-04-10 00:24:00,1712679840000,68934.52,69035.71,68928.23,69024.64,23.48776
2024-04-10 00:25:00,1712679900000,69024.65,69070.63,69024.64,69038.26,24.34308
2024-04-10 00:26:00,1712679960000,69038.26,69107.92,69038.25,69107.92,18.98593
2024-04-10 00:27:00,1712680020000,69107.91,69212.97,69105.22,69173.93,54.76397
2024-04-10 00:28:00,1712680080000,69173.94,69215.47,69173.93,69215.04,18.65009
2024-04-10 00:29:00,1712680140000,69215.05,69215.05,69102.64,69111.83,23.49154
2024-04-10 00:30:00,1712680200000,69111.84,69111.84,69030.83,69030.83,20.41424
2024-04-10 00:31:00,1712680260000,69030.84,69030.84,68990.0,68990.0,37.6737
2024-04-10 00:32:00,1712680320000,68990.0,69000.01,68919.23,68936.48,61.36152
2024-04-10 00:33:00,1712680380000,68936.49,69025.55,68936.48,68971.43,28.35612
2024-04-10 00:34:00,1712680440000,68971.43,68971.44,68910.01,68910.01,42.94227
2024-04-10 00:35:00,1712680500000,68910.01,68959.19,68904.0,68908.1,28.08982
2024-04-10 00:36:00,1712680560000,68908.11,68908.11,68800.0,68839.1,106.46375
2024-04-10 00:37:00,1712680620000,68839.1,68885.18,68784.0,68805.38,45.17481
2024-04-10 00:38:00,1712680680000,68805.38,68874.32,68800.0,68800.01,21.1766
